parcel_id,parcel_label,ArchiEmotional_emotional_expr_gt_control.nii,ArchiEmotional_emotional_face_gt_control.nii,ArchiStandard_audio_gt_baseline.nii,ArchiStandard_checkerboard_gt_baseline.nii,PreferenceFaces_face_gt_baseline.nii,RSVPLanguage_language_gt_baseline.nii,RSVPLanguage_sentence_complex_vs_pseudo.nii,RSVPLanguage_sentence_gt_word.nii
135,7Networks_LH_Cont_PFCl_1,-0.0036573654825059897,0.030031516365525677,0.013542679410306166,0.020686078998235366,-0.005339480658385256,-0.018429833355664366,0.005751181084742494,0.10157546446187084
136,7Networks_LH_Cont_PFCl_2,-0.008286899205970082,-0.1148286781729956,0.03975489995819783,-0.02173870305993824,-0.00847966273393203,0.0009000266950452108,-0.054826189555501614,-0.01926835242457627
137,7Networks_LH_Cont_PFCl_3,0.06031631800570919,-0.03714111420845277,-0.008033037229764044,-0.059253392483915944,0.0,0.007201125443131686,-0.0491403452019963,-0.08928685600401033
138,7Networks_LH_Cont_PFCl_4,-0.0035076818259191403,-0.06599916729093565,-0.01226616673301433,-0.005584919976379518,0.0,0.01858681459394409,-0.01666691353162929,-0.025983024347095325
139,7Networks_LH_Cont_PFCl_5,0.09276291579802971,-0.09677848861796068,-0.007359725710754263,-0.0358167978656008,0.020668737073226775,0.0327968893450155,-0.004412315660824833,-0.008455421340063793
140,7Networks_LH_Cont_PFCl_6,-0.01249175005067697,-0.009410616372352836,0.03316798166134618,0.004413928918068099,-0.0068156985041781595,-0.06061092563619997,-0.010616034014938873,0.011391978044843702
141,7Networks_LH_Cont_PFCl_7,0.025410779442009108,0.05370059468034908,-0.04703544578433298,0.010856547066124907,-0.013820323184655424,-0.0664545325349951,-0.08594942796748671,0.04780505644471544
142,7Networks_LH_Cont_PFCl_8,0.01348553678395628,0.042632238450608595,0.09810821334592029,0.09278683274692145,-0.012958590899308101,-0.0030596163660148307,-0.005430548890779838,-0.02926999051358915
143,7Networks_LH_Cont_PFCv_1,0.022575899489068737,-0.028541789998278198,0.042680058413090936,0.033408044532517944,0.0,-0.04626611106435857,0.015331902340542347,0.07453927127606308
144,7Networks_LH_Cont_pCun_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,7Networks_LH_Cont_pCun_2,0.0,0.0,-0.042109303758479655,-0.04000563201357368,0.0,0.0,0.0,0.0
146,7Networks_LH_Cont_Cing_1,0.09074699097416467,0.010479677109231736,-0.05693681499299904,-0.07568170903839838,0.0,-0.05452306210465821,-0.07779364404843453,0.11318829768613257
147,7Networks_LH_Cont_Cing_2,0.0833692510569678,0.03395177463961529,-0.03621741816029281,0.024075918598715412,0.0,-0.11673342157401223,-0.04516454774584674,0.2136626993240395
148,7Networks_LH_Cont_PFCmp_1,0.047302773036129814,-0.01893778230718048,0.02753979196204385,-0.06527967083343465,0.0,-0.11672575066392302,-0.0967176955632886,-0.07270143678266239
149,7Networks_LH_Default_Temp_1,0.02511082527898252,-0.06044110208610073,-0.0037484163134358824,0.01409429039437673,0.0023285145178437235,-0.002562219979055226,-0.0331646373430267,0.005809545866772532
150,7Networks_LH_Default_Temp_2,0.010446137085477534,0.055253133218033657,0.04585952111858671,-0.027168212607031207,0.0010661022331547962,-0.021736358056632224,-0.04187309439183694,0.06047332446202327
151,7Networks_LH_Default_Temp_3,0.0006972292219848575,0.0006931964676583376,0.022160524499561508,-0.021623589610871418,0.0068351740888964885,-0.000714385071188166,-0.0003860294762176647,0.0015392907990122858
152,7Networks_LH_Default_Temp_4,0.053220266608036214,0.023183479237424844,-0.09556640588961846,-0.1044339381584592,-0.0254881478973999,-0.05013767957593422,-0.01378399412349088,0.07134694373111111
153,7Networks_LH_Default_Temp_5,0.025030711558815238,-0.01740859438431806,-0.04989730353635641,-0.00112577085946351,-0.03937882266518994,-0.027632806042272706,-0.008639689211628832,0.004445709582362007
154,7Networks_LH_Default_Temp_6,0.0041411206603814395,-0.016798643701566526,-0.03392075472053183,-0.038448871269556706,-0.013962343072470946,0.01930808660048896,0.01611696826532865,0.026978273706462903
155,7Networks_LH_Default_Temp_7,-0.03694581275298741,-0.19811997050916597,-0.2004595194104624,-0.18860798779246174,0.057213197217001396,-0.10234312224367574,-0.10205915544221006,0.12359200014871151
